OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS
11492,2013,CA,BLM,CDD,49.49845886,283247.89425921,7428.44885214586,3283859,1_Sycamore Canyon Rx-2,3,2013/11/27 00:00:00+00,2013/12/03 00:00:00+00,49,,,
11493,2014,CA,BLM,CDD,25.67920303,148413.161848325,3416.37693003055,6288667,4_MA Sunrise Rx,3,2014/07/03 00:00:00+00,2014/07/04 00:00:00+00,26,,,
11494,2014,CA,BLM,CND,306.4593811,2063555.7475981,15033.9197876031,6275220,1_Mill Creek RX FY14,3,2014/02/24 00:00:00+00,2014/02/26 00:00:00+00,307,,,
11495,2013,CA,BLM,NOD,124.73735046,881796.65812442,7637.29573799335,6271759,1_Interlakes RX14-2,3,2013/11/04 00:00:00+00,2013/12/22 00:00:00+00,123,,,
11496,2014,CA,BLM,NOD,117.32322693,823330.41850876,7857.45458760393,6282595,1_MA Mule Mountain RX14-1,3,2014/02/04 00:00:00+00,2014/02/06 00:00:00+00,110,,,
11497,2014,CA,BLM,NOD,22.17459297,156694.893100445,3778.9824640502,6285240,2_Interlakes RX14-2,3,2013/12/31 00:00:00+00,2014/01/24 00:00:00+00,35,,,
11498,2013,CA,BLM,NOD,67.45314789,474850.362160765,3479.1804552636,3323178,1_MA Grass Valley Broadcast RX-10,3,2013/10/30 00:00:00+00,2013/11/12 00:00:00+00,67,,,
11499,2014,CA,BLM,NOD,3.83738637,27269.121650725,852.906680063571,6288777,S-2_Tuledad Fire,3,2014/07/21 00:00:00+00,2014/07/24 00:00:00+00,3,,,
11500,2014,CA,NPS,RNP,561.85943604,4015159.19934165,10552.1027025078,,Childs Hill RX,3,,,561.85943165,,,
11501,2014,CA,NPS,YNP,57.20090103,372831.148587965,2375.98426534938,,Hetch Hetchy Rx,3,2014/03/24 00:00:00+00,2014/03/26 00:00:00+00,57.20090085,,,
11502,2014,CA,NPS,WNP,29.34385872,206183.661126305,2281.12511314496,,East Boundary Unit 15 Rx,3,2014/03/17 00:00:00+00,2014/03/27 00:00:00+00,29.34385788,,,
